,data,codigo,defluencia
5178,2005-12-31,19067,115.0
5179,2006-01-01,19067,115.0
5180,2006-01-04,19067,111.0
5181,2006-01-06,19067,111.0
5182,2006-01-08,19067,114.0
5183,2006-01-10,19067,132.0
5184,2006-01-11,19067,143.0
5185,2006-01-17,19067,113.0
5186,2006-01-18,19067,121.0
5187,2006-01-19,19067,105.0
5188,2006-01-22,19067,77.0
5189,2006-01-25,19067,234.0
5190,2006-01-27,19067,158.0
5191,2006-01-29,19067,275.0
5192,2006-02-01,19067,259.0
5193,2006-02-04,19067,298.0
5194,2006-02-07,19067,305.0
5195,2006-02-08,19067,306.0
5196,2006-02-14,19067,295.0
5197,2006-02-19,19067,132.0
5198,2006-02-20,19067,133.0
5199,2006-02-21,19067,196.0
5200,2006-02-24,19067,286.0
5201,2006-02-28,19067,296.0
5202,2006-03-01,19067,277.0
5203,2006-03-03,19067,295.0
5204,2006-03-04,19067,294.0
5205,2006-03-05,19067,295.0
5206,2006-03-06,19067,296.0
5207,2006-03-07,19067,262.0
5208,2006-03-08,19067,297.0
5209,2006-03-09,19067,297.0
5210,2006-03-14,19067,130.0
5211,2006-03-16,19067,133.0
5212,2006-03-18,19067,131.0
5213,2006-03-19,19067,131.0
5214,2006-03-21,19067,126.0
5215,2006-03-25,19067,112.0
5216,2006-03-27,19067,112.0
5217,2006-03-30,19067,110.0
5218,2006-03-31,19067,110.0
5219,2006-04-04,19067,86.0
5220,2006-04-05,19067,110.0
5221,2006-04-06,19067,132.0
5222,2006-04-08,19067,86.0
5223,2006-04-11,19067,87.0
5224,2006-04-12,19067,78.0
5225,2006-04-14,19067,74.0
5226,2006-04-18,19067,71.0
5227,2006-04-20,19067,63.0
5228,2006-04-24,19067,63.0
5229,2006-04-25,19067,63.0
5230,2006-04-27,19067,63.0
5231,2006-05-02,19067,0.0
5232,2006-05-04,19067,5.0
5233,2006-05-05,19067,5.0
5234,2006-05-06,19067,5.0
5235,2006-05-07,19067,5.0
5236,2006-05-08,19067,5.0
5237,2006-05-10,19067,5.0
5238,2006-05-11,19067,5.0
5239,2006-05-14,19067,5.0
5240,2006-05-16,19067,5.0
5241,2006-05-19,19067,6.0
5242,2006-05-20,19067,5.0
5243,2006-05-21,19067,5.0
5244,2006-05-22,19067,43.0
5245,2006-05-23,19067,66.0
5246,2006-05-26,19067,66.0
5247,2006-05-31,19067,62.0
5248,2006-06-02,19067,63.0
5249,2006-06-04,19067,63.0
5250,2006-06-07,19067,27.0
5251,2006-06-08,19067,5.0
5252,2006-06-10,19067,5.0
5253,2006-06-12,19067,5.0
5254,2006-06-13,19067,5.0
5255,2006-06-15,19067,5.0
5256,2006-06-16,19067,5.0
5257,2006-06-17,19067,5.0
5258,2006-06-21,19067,0.0
5259,2006-06-23,19067,5.0
5260,2006-06-24,19067,5.0
5261,2006-06-25,19067,5.0
5262,2006-06-27,19067,37.0
5263,2006-06-28,19067,62.0
5264,2006-06-29,19067,62.0
5265,2006-07-02,19067,62.0
5266,2006-07-03,19067,62.0
5267,2006-07-05,19067,62.0
5268,2006-07-08,19067,5.0
5269,2006-07-10,19067,5.0
5270,2006-07-11,19067,5.0
5271,2006-07-12,19067,5.0
5272,2006-07-13,19067,5.0
5273,2006-07-15,19067,5.0
5274,2006-07-16,19067,5.0
5275,2006-07-19,19067,5.0
5276,2006-07-21,19067,5.0
5277,2006-07-23,19067,5.0
5278,2006-07-25,19067,5.0
5279,2006-07-27,19067,5.0
5280,2006-07-30,19067,5.0
5281,2006-08-01,19067,5.0
5282,2006-08-03,19067,11.0
5283,2006-08-05,19067,16.0
5284,2006-08-07,19067,16.0
5285,2006-08-11,19067,17.0
5286,2006-08-12,19067,17.0
5287,2006-08-15,19067,18.0
5288,2006-08-16,19067,21.0
5289,2006-08-17,19067,21.0
5290,2006-08-18,19067,18.0
5291,2006-08-22,19067,19.0
5292,2006-08-25,19067,19.0
5293,2006-08-26,19067,19.0
5294,2006-08-28,19067,20.0
5295,2006-08-29,19067,20.0
5296,2006-08-31,19067,20.0
5297,2006-09-01,19067,20.0
